Ref_Date,GEO,INS,RAN,STA,Value
2016/2017,Canada,University of Toronto - Excluding medical dental,Male,Total teaching staff,1467
2016/2017,Canada,University of Toronto - Excluding medical dental,Male,Average (dollars),170250
2016/2017,Canada,University of Toronto - Excluding medical dental,Male,Median (dollars),167425
2016/2017,Canada,University of Toronto - Excluding medical dental,Female,Total teaching staff,960
2016/2017,Canada,University of Toronto - Excluding medical dental,Female,Average (dollars),148375
2016/2017,Canada,University of Toronto - Excluding medical dental,Female,Median (dollars),143850
2016/2017,Canada,Trent University,Full professor,Total teaching staff,69
2016/2017,Canada,Trent University,Full professor,Average (dollars),161875
2016/2017,Canada,Trent University,Full professor,Median (dollars),166150
2016/2017,Canada,Trent University,With senior administrative duties,Total teaching staff,9
2016/2017,Canada,Trent University,With senior administrative duties,Average (dollars),165325
2016/2017,Canada,Trent University,With senior administrative duties,Median (dollars),x
2016/2017,Canada,Trent University,Without senior administrative duties,Total teaching staff,60
2016/2017,Canada,Trent University,Without senior administrative duties,Average (dollars),161350
2016/2017,Canada,Trent University,Without senior administrative duties,Median (dollars),166150
2016/2017,Canada,Trent University,Associate professor,Total teaching staff,99
2016/2017,Canada,Trent University,Associate professor,Average (dollars),137200
2016/2017,Canada,Trent University,Associate professor,Median (dollars),137125
2016/2017,Canada,Trent University,With senior administrative duties,Total teaching staff,12
2016/2017,Canada,Trent University,With senior administrative duties,Average (dollars),143250
2016/2017,Canada,Trent University,With senior administrative duties,Median (dollars),140025
2016/2017,Canada,Trent University,Without senior administrative duties,Total teaching staff,87
2016/2017,Canada,Trent University,Without senior administrative duties,Average (dollars),136300
2016/2017,Canada,Trent University,Without senior administrative duties,Median (dollars),137125
2016/2017,Canada,Trent University,Assistant professor,Total teaching staff,24
2016/2017,Canada,Trent University,Assistant professor,Average (dollars),101700
2016/2017,Canada,Trent University,Assistant professor,Median (dollars),97725
2016/2017,Canada,Trent University,Rank below assistant professor,Total teaching staff,x
2016/2017,Canada,Trent University,Rank below assistant professor,Average (dollars),x
2016/2017,Canada,Trent University,Rank below assistant professor,Median (dollars),x
2016/2017,Canada,Trent University,All ranks combined (including deans),Total teaching staff,201
2016/2017,Canada,Trent University,All ranks combined (including deans),Average (dollars),142025
2016/2017,Canada,Trent University,All ranks combined (including deans),Median (dollars),142950
2016/2017,Canada,Trent University,Male,Total teaching staff,114
2016/2017,Canada,Trent University,Male,Average (dollars),145150
2016/2017,Canada,Trent University,Male,Median (dollars),145850
2016/2017,Canada,Trent University,Female,Total teaching staff,84
2016/2017,Canada,Trent University,Female,Average (dollars),137850
2016/2017,Canada,Trent University,Female,Median (dollars),138550
2016/2017,Canada,University of Waterloo,Full professor,Total teaching staff,426
2016/2017,Canada,University of Waterloo,Full professor,Average (dollars),182675
2016/2017,Canada,University of Waterloo,Full professor,Median (dollars),181450
2016/2017,Canada,University of Waterloo,With senior administrative duties,Total teaching staff,81
2016/2017,Canada,University of Waterloo,With senior administrative duties,Average (dollars),191900
2016/2017,Canada,University of Waterloo,With senior administrative duties,Median (dollars),187025
2016/2017,Canada,University of Waterloo,Without senior administrative duties,Total teaching staff,345
2016/2017,Canada,University of Waterloo,Without senior administrative duties,Average (dollars),180500
2016/2017,Canada,University of Waterloo,Without senior administrative duties,Median (dollars),180425
2016/2017,Canada,University of Waterloo,Associate professor,Total teaching staff,390
2016/2017,Canada,University of Waterloo,Associate professor,Average (dollars),148150
2016/2017,Canada,University of Waterloo,Associate professor,Median (dollars),147350
2016/2017,Canada,University of Waterloo,With senior administrative duties,Total teaching staff,36
2016/2017,Canada,University of Waterloo,With senior administrative duties,Average (dollars),154650
2016/2017,Canada,University of Waterloo,With senior administrative duties,Median (dollars),154000
2016/2017,Canada,University of Waterloo,Without senior administrative duties,Total teaching staff,354
2016/2017,Canada,University of Waterloo,Without senior administrative duties,Average (dollars),147500
2016/2017,Canada,University of Waterloo,Without senior administrative duties,Median (dollars),147125
2016/2017,Canada,University of Waterloo,Assistant professor,Total teaching staff,222
2016/2017,Canada,University of Waterloo,Assistant professor,Average (dollars),110550
2016/2017,Canada,University of Waterloo,Assistant professor,Median (dollars),108500
2016/2017,Canada,University of Waterloo,Rank below assistant professor,Total teaching staff,168
2016/2017,Canada,University of Waterloo,Rank below assistant professor,Average (dollars),111425
2016/2017,Canada,University of Waterloo,Rank below assistant professor,Median (dollars),110300
2016/2017,Canada,University of Waterloo,All ranks combined (including deans),Total teaching staff,1209
2016/2017,Canada,University of Waterloo,All ranks combined (including deans),Average (dollars),148875
2016/2017,Canada,University of Waterloo,All ranks combined (including deans),Median (dollars),150150
2016/2017,Canada,University of Waterloo,Male,Total teaching staff,858
2016/2017,Canada,University of Waterloo,Male,Average (dollars),152900
2016/2017,Canada,University of Waterloo,Male,Median (dollars),156625
2016/2017,Canada,University of Waterloo,Female,Total teaching staff,351
2016/2017,Canada,University of Waterloo,Female,Average (dollars),139025
2016/2017,Canada,University of Waterloo,Female,Median (dollars),135800
2016/2017,Canada,University of Western Ontario - Including medical dental,Full professor,Total teaching staff,426
2016/2017,Canada,University of Western Ontario - Including medical dental,Full professor,Average (dollars),172550
2016/2017,Canada,University of Western Ontario - Including medical dental,Full professor,Median (dollars),163875
2016/2017,Canada,University of Western Ontario - Including medical dental,With senior administrative duties,Total teaching staff,54
2016/2017,Canada,University of Western Ontario - Including medical dental,With senior administrative duties,Average (dollars),181850
2016/2017,Canada,University of Western Ontario - Including medical dental,With senior administrative duties,Median (dollars),174075
2016/2017,Canada,University of Western Ontario - Including medical dental,Without senior administrative duties,Total teaching staff,372
2016/2017,Canada,University of Western Ontario - Including medical dental,Without senior administrative duties,Average (dollars),171225
2016/2017,Canada,University of Western Ontario - Including medical dental,Without senior administrative duties,Median (dollars),162625
2016/2017,Canada,University of Western Ontario - Including medical dental,Associate professor,Total teaching staff,477
